1	16	307	12	43.00	43d0	1
1	13	0	28	48.30	48.3d0	1
1	11	70	59	58.80	58.8d0	1
1	2	140	39	5.60	5.6d0	1
1	4	184	7	52.90	52.9d0	1
1	25	242	3	25.60	25.6d0	1
2	1	295	39	5.30	5.3d0	1
2	11	7	54	14.50	14.5d0	1
2	6	94	49	44.40	44.4d0	1
2	3	134	29	48.60	48.6d0	1
2	4	195	31	16.40	16.4d0	1
3	2	338	29	50.00	50d0	1
3	6	74	10	41.30	41.3d0	1
3	4	273	20	47.10	47.1d0	1
4	25	235	5	31.50	31.5d0	1
4	1	285	7	54.30	54.3d0	1
4	2	321	31	15.30	15.3d0	1
4	3	15	20	46.60	46.6d0	1
4	5	138	54	11.50	11.5d0	1
5	25	291	51	42.30	42.3d0	1
5	4	0	54	9.90	9.9d0	1
5	22	249	20	37.70	37.7d0	1
6	11	321	33	25.00	25d0	1
6	8	2	52	18.70	18.7d0	1
6	9	26	47	32.70	32.7d0	1
6	3	229	10	42.10	42.1d0	1
6	2	273	49	45.50	45.5d0	1
7	27	266	27	9.10	9.1d0	1
7	26	305	24	43.60	43.6d0	1
7	15	338	28	33.50	33.5d0	1
7	22	32	23	22.00	22d0	1
7	24	86	48	43.50	43.5d0	1
7	23	121	14	39.90	39.9d0	1
7	17	200	27	13.30	13.3d0	1
8	11	237	35	13.10	13.1d0	1
8	10	281	27	39.90	39.9d0	1
8	9	54	8	18.00	18d0	1
8	6	148	52	22.80	22.8d0	1
10	12	316	42	4.00	4d0	1
10	11	232	1	48.90	48.9d0	1
10	8	170	27	36.30	36.3d0	1
11	28	285	53	10.00	10d0	1
11	12	333	3	16.80	16.8d0	1
11	10	30	1	50.70	50.7d0	1
11	8	104	35	13.10	13.1d0	1
11	6	154	33	26.40	26.4d0	1
11	2	199	54	12.80	12.8d0	1
11	1	237	59	59.50	59.5d0	1
11	13	269	39	48.90	48.9d0	1
12	28	193	11	42.40	42.4d0	1
12	11	123	3	17.00	17d0	1
12	10	84	42	3.30	3.3d0	1
13	16	180	59	5.10	5.1d0	1
13	28	256	13	47.90	47.9d0	1
13	11	12	39	50.30	50.3d0	1
13	1	90	28	45.40	45.4d0	1
15	14	259	50	36.10	36.1d0	1
15	26	258	3	50.70	50.7d0	1
15	7	238	28	35.30	35.3d0	1
15	22	198	55	22.80	22.8d0	1
15	25	171	4	27.80	27.8d0	1
15	16	81	43	33.50	33.5d0	1
16	15	192	43	32.90	32.9d0	1
16	25	134	29	10.90	10.9d0	1
16	1	79	12	40.60	40.6d0	1
16	13	42	59	4.50	4.5d0	1
16	28	13	49	28.30	28.3d0	1
17	27	285	14	52.40	52.4d0	1
17	7	0	27	12.50	12.5d0	1
17	23	49	35	6.10	6.1d0	1
17	18	124	21	30.90	30.9d0	1
17	19	205	47	6.90	6.9d0	1
18	21	298	11	30.50	30.5d0	1
18	19	313	32	40.30	40.3d0	1
18	17	4	21	30.00	30d0	1
18	23	66	9	22.00	22d0	1
18	20	183	35	51.90	51.9d0	1
19	21	258	44	2.80	2.8d0	1
19	27	5	35	52.60	52.6d0	1
19	17	67	47	5.70	5.7d0	1
19	18	115	32	41.30	41.3d0	1
20	21	359	9	1.00	1d0	1
20	18	39	35	52.20	52.2d0	1
20	23	70	38	18.50	18.5d0	1
21	20	154	9	0.60	0.6d0	1
21	18	129	11	28.40	28.4d0	1
21	19	107	44	2.40	2.4d0	1
21	27	60	6	5.00	5d0	1
22	24	69	3	35.80	35.8d0	1
22	7	111	23	21.70	21.7d0	1
22	15	197	55	24.80	24.8d0	1
22	25	230	16	39.00	39d0	1
22	5	306	20	38.20	38.2d0	1
23	20	129	38	18.80	18.8d0	1
23	18	161	9	23.70	23.7d0	1
23	17	204	35	6.50	6.5d0	1
23	7	256	14	38.40	38.4d0	1
23	24	355	33	6.30	6.3d0	1
24	23	106	33	5.80	5.8d0	1
24	7	152	48	42.90	42.9d0	1
24	22	236	3	35.80	35.8d0	1
25	15	219	4	26.00	26d0	1
25	16	251	29	10.80	10.8d0	1
25	1	311	3	28.80	28.8d0	1
25	4	23	5	31.70	31.7d0	1
25	5	37	51	40.10	40.1d0	1
25	22	99	16	37.60	37.6d0	1
26	27	240	28	20.90	20.9d0	1
26	7	155	24	45.60	45.6d0	1
26	15	28	3	52.10	52.1d0	1
26	14	24	47	54.20	54.2d0	1
27	21	149	6	4.00	4d0	1
27	19	123	35	54.50	54.5d0	1
27	17	85	14	51.80	51.8d0	1
27	7	46	27	8.90	8.9d0	1
27	26	350	28	19.20	19.2d0	1
28	16	190	49	30.00	30d0	1
28	13	115	13	50.10	50.1d0	1
28	11	67	53	10.60	10.6d0	1
28	12	5	11	42.30	42.3d0	1
