1	16	307	12	43	1
1	13	0	28	48.3	1
1	11	70	59	58.8	1
1	2	140	39	5.6	1
1	4	184	7	52.9	1
1	25	242	3	25.6	1
2	1	295	39	5.3	1
2	11	7	54	14.5	1
2	6	94	49	44.4	1
2	3	134	29	48.6	1
2	4	195	31	16.4	1
3	2	338	29	50	1
3	6	74	10	41.3	1
3	4	273	20	47.1	1
4	25	235	5	31.5	1
4	1	285	7	54.3	1
4	2	321	31	15.3	1
4	3	15	20	46.6	1
4	5	138	54	11.5	1
5	25	291	51	42.3	1
5	4	0	54	9.9	1
5	22	249	20	37.7	1
6	11	321	33	25	1
6	8	2	52	18.7	1
6	9	26	47	32.7	1
6	3	229	10	42.1	1
6	2	273	49	45.5	1
7	27	266	27	9.1	1
7	26	305	24	43.6	1
7	15	338	28	33.5	1
7	22	32	23	22	1
7	24	86	48	43.5	1
7	23	121	14	39.9	1
7	17	200	27	13.3	1
8	11	237	35	13.1	1
8	10	281	27	39.9	1
8	9	54	8	18	1
8	6	148	52	22.8	1
10	12	316	42	4	1
10	11	232	1	48.9	1
10	8	170	27	36.3	1
11	28	285	53	10	1
11	12	333	3	16.8	1
11	10	30	1	50.7	1
11	8	104	35	13.1	1
11	6	154	33	26.4	1
11	2	199	54	12.8	1
11	1	237	59	59.5	1
11	13	269	39	48.9	1
12	28	193	11	42.4	1
12	11	123	3	17	1
12	10	84	42	3.3	1
13	16	180	59	5.1	1
13	28	256	13	47.9	1
13	11	12	39	50.3	1
13	1	90	28	45.4	1
15	14	259	50	36.1	1
15	26	258	3	50.7	1
15	7	238	28	35.3	1
15	22	198	55	22.8	1
15	25	171	4	27.8	1
15	16	81	43	33.5	1
16	15	192	43	32.9	1
16	25	134	29	10.9	1
16	1	79	12	40.6	1
16	13	42	59	4.5	1
16	28	13	49	28.3	1
17	27	285	14	52.4	1
17	7	0	27	12.5	1
17	23	49	35	6.1	1
17	18	124	21	30.9	1
17	19	205	47	6.9	1
18	21	298	11	30.5	1
18	19	313	32	40.3	1
18	17	4	21	30	1
18	23	66	9	22	1
18	20	183	35	51.9	1
19	21	258	44	2.8	1
19	27	5	35	52.6	1
19	17	67	47	5.7	1
19	18	115	32	41.3	1
20	21	359	9	1	1
20	18	39	35	52.2	1
20	23	70	38	18.5	1
21	20	154	9	0.6	1
21	18	129	11	28.4	1
21	19	107	44	2.4	1
21	27	60	6	5	1
22	24	69	3	35.8	1
22	7	111	23	21.7	1
22	15	197	55	24.8	1
22	25	230	16	39	1
22	5	306	20	38.2	1
23	20	129	38	18.8	1
23	18	161	9	23.7	1
23	17	204	35	6.5	1
23	7	256	14	38.4	1
23	24	355	33	6.3	1
24	23	106	33	5.8	1
24	7	152	48	42.9	1
24	22	236	3	35.8	1
25	15	219	4	26	1
25	16	251	29	10.8	1
25	1	311	3	28.8	1
25	4	23	5	31.7	1
25	5	37	51	40.1	1
25	22	99	16	37.6	1
26	27	240	28	20.9	1
26	7	155	24	45.6	1
26	15	28	3	52.1	1
26	14	24	47	54.2	1
27	21	149	6	4	1
27	19	123	35	54.5	1
27	17	85	14	51.8	1
27	7	46	27	8.9	1
27	26	350	28	19.2	1
28	16	190	49	30	1
28	13	115	13	50.1	1
28	11	67	53	10.6	1
28	12	5	11	42.3	1
